target,precision,recall,f1,support
Weight_Loss,1.0,0.9878048780487805,0.9938650306748467,82.0
Bodybuilder,1.0,1.0,1.0,118.0
CleanEating,1.0,1.0,1.0,75.0
Diabetic,0.9807692307692307,0.9807692307692307,0.9807692307692307,52.0
Hypertension,0.8360655737704918,0.8717948717948718,0.8535564853556485,117.0
Heart-Healthy Diet,0.8727272727272727,0.8571428571428571,0.8648648648648649,56.0
Vegetarian,0.6875,0.44594594594594594,0.5409836065573771,74.0
Low_Carb,1.0,1.0,1.0,116.0
None,0.9157303370786517,0.7652582159624414,0.8337595907928389,213.0
